mar,label
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.05,mouth_talk
0.0576752291225797,mouth_talk
0.1975495571435658,mouth_talk
0.4825847103397588,mouth_talk
0.4784524487882008,mouth_talk
0.5039798618432563,mouth_talk
0.531482033222157,mouth_talk
0.5630147267391992,mouth_talk
0.6192045955644132,mouth_talk
0.4395411021431322,mouth_talk
0.4891042112476138,mouth_talk
0.3227027332126367,mouth_talk
0.4305484919945828,mouth_talk
0.4232006717462182,mouth_talk
0.4213476029149386,mouth_talk
0.4171141586355374,mouth_talk
0.4681144081831543,mouth_talk
